ID	Kanji	Meaning	OnReadings	KunReadings	ExampleWord	ExampleReading	ExampleMeaning	JLPT	Grade	StrokeCount	Radical	RadicalName	FrequencyRank	Tags	Etymology
N3-001	者	person	シャ	もの	学者	学者[がくしゃ]	scholar	N3	3-4					intermediate	[老] (elder, top — simplified) + 日 (sun/say, bottom) — an elder who speaks with authority; a person defined by their role or expertise.
N3-002	相	mutual; together	ソウ	あい	相談	相談[そうだん]	consultation	N3	3-4					intermediate	[木] (tree, left) + [目] (eye, right) — an eye looking carefully into a tree; mutual inspection and regard between two parties.
N3-003	係	concerned; person in charge	ケイ	かか.る	係る	係る[かかる]	to be related	N3	3-4					intermediate	[人] (person, left) + 系 (lineage/connection, right) — a person tied into a system of connections; one who is in charge of or related to something.
N3-004	利	advantage	リ	き.く	便利	便利[べんり]	convenient	N3	3-4					intermediate	[禾] (grain, left) + [刀] (knife, right) — a knife harvesting grain efficiently; the benefit and advantage of a sharp, effective tool.
N3-005	改	reform; change	カイ	あらた.める	改める	改める[あらためる]	to reform	N3	3-4					intermediate	[己] (self, left) + [攴] (strike/tap, right) — striking oneself to correct one's own course; to reform or change.
N3-006	求	seek	キュウ	もと.める	求める	求める[もとめる]	to seek	N3	3-4					intermediate	[求] Originally a pictograph of a fur garment — fur was a prized commodity actively sought after; the meaning of seeking and requesting developed from that pursuit.
N3-007	失	lose	シツ	うしな.う	失う	失う[うしなう]	to lose	N3	3-4					intermediate	[大] (person with arms out, below) + 乙 (a slipping mark, top) — something slipping out of a person's grasp; to lose or let go.
N3-008	確	certain	カク	たし.か	確か	確か[たしか]	certain	N3	3-4					intermediate	[石] (stone, left) + 隺 (a bird alighting firmly, right) — a bird landing solidly on stone; firm and certain like stone underfoot.
N3-009	現	present; appear	ゲン	あらわ.れる	現在	現在[げんざい]	present time	N3	3-4					intermediate	[王] (king/jewel, left) + [見] (see, right) — the jewel becoming visible; to appear or manifest in the present moment.
N3-010	実	truth; actual	ジツ	み	実	実[み]	fruit; truth	N3	3-4					intermediate	[宀] (roof, top) + 貫 (pierce through/fill completely, below) — something solid filling a space completely under a roof; fruit, fullness, and by extension truth or reality.
N3-011	予	beforehand	ヨ		予定	予定[よてい]	plan	N3	3-4					intermediate	[予] Originally a pictograph of a shuttle being pushed ahead through a loom — preparing and passing through in advance; beforehand or in advance.
N3-012	定	decide	テイ	さだ.める	決定	決定[けってい]	decision	N3	3-4					intermediate	[宀] (roof, top) + 正 (correct/straight, below) — correctness established and settled under a roof; a decided, fixed matter.
N3-013	題	topic	ダイ		問題	問題[もんだい]	problem	N3	3-4					intermediate	[頁] (head/page, right) + 是 (this/correct, left) — the correct heading at the forefront; a topic or title.
N3-014	問	question	モン	と.う	質問	質問[しつもん]	question	N3	3-4					intermediate	[門] (gate, outer) + [口] (mouth, inner) — a mouth calling out at a gate seeking entry; to ask or inquire.
N3-015	答	answer	トウ	こた.える	答える	答える[こたえる]	to answer	N3	3-4					intermediate	[竹] (bamboo, top) + 合 (combine/fit, below) — bamboo writing slips fitted together; the ancient tablets on which answers were recorded, hence a response.
N3-016	説	explain	セツ	と.く	説明	説明[せつめい]	explanation	N3	3-4					intermediate	[言] (speech, left) + 兑 (exchange/open up, right) — speech that opens something up for another; to explain or expound.
N3-017	記	write down; record	キ	しる.す	記入	記入[きにゅう]	entry	N3	3-4					intermediate	[言] (speech, left) + 己 (self, right) — one's own speech set down permanently; to record or write.
N3-019	談	talk	ダン	かた.る	相談	相談[そうだん]	consultation	N3	3-4					intermediate	[言] (speech, left) + 炎 (flames, right) — speech that blazes and rises between people like fire; to converse or discuss.
N3-020	報	report	ホウ	むく.いる	報告	報告[ほうこく]	report	N3	3-4					intermediate	[土] (earth) + 幸 (lucky/bound hands) + [攴] (strike, right) — a bound person receiving judgment; the idea of returning news or requiting something, hence to report.
N3-021	告	tell; announce	コク	つ.げる	報告	報告[ほうこく]	report	N3	3-4					intermediate	[牛] (ox, top) + [口] (mouth, bottom) — an ox at the mouth of an altar; the announcement of a ritual offering, hence to tell or declare.
N3-022	調	investigate; tune	チョウ	しら.べる	調べる	調べる[しらべる]	to investigate	N3	3-4					intermediate	[言] (speech, left) + 周 (all around/circuit, right) — speech that goes all the way around a subject; to investigate thoroughly or tune precisely.
N3-023	理	reason	リ	ことわり	料理	料理[りょうり]	cooking	N3	3-4					intermediate	[王] (king/jade, left) + 里 (village/ordered land, right) — the ordered veins of jade being worked; the natural patterns or principles within things, hence reason or logic.
N3-024	産	give birth; produce	サン	う.む	産む	産む[うむ]	to give birth	N3	3-4					intermediate	[生] (life/birth, bottom) + 产 (cliff with things emerging, top) — life emerging from a high place; to give birth or produce.
N3-025	業	business	ギョウ	わざ	工業	工業[こうぎょう]	industry	N3	3-4					intermediate	[木] (wood, bottom) + 業 (a rack of musical bells on a stand, top) — a large wooden framework holding instruments; the effort and craft of an undertaking, hence business or work.
N3-026	働	work	ドウ	はたら.く	働く	働く[はたらく]	to work	N3	3-4					intermediate	[人] (person, left) + 動 (move, right) — a person in constant movement; to work or labour.
